Foreign State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
Reunion,1,0,0,0,,,,,,,Immediate Relatives
Romania,662,733,629,735,664,563,407,540,567,425,Immediate Relatives
Russia,3277,3158,2580,2638,2417,1715,1142,1581,1720,1273,Immediate Relatives
Rwanda,37,30,58,73,59,32,22,41,34,43,Immediate Relatives
Saint Kitts and Nevis,64,74,62,58,76,48,49,56,82,65,Immediate Relatives
Saint Lucia,186,152,151,147,167,125,108,161,217,215,Immediate Relatives
Saint Martin,,,,0,0,0,0,0,1,3,Immediate Relatives
Saint Vincent and the Grenadines,99,107,116,121,94,87,71,100,125,94,Immediate Relatives
Samoa,20,37,33,24,21,36,28,52,46,26,Immediate Relatives
San Marino,0,0,0,0,0,0,1,0,0,0,Immediate Relatives
Sao Tome and Principe,6,1,3,4,5,1,2,0,6,5,Immediate Relatives
Saudi Arabia,253,352,294,346,289,263,274,321,444,350,Immediate Relatives
Senegal,303,361,345,362,531,352,317,399,568,622,Immediate Relatives
Serbia,585,259,228,201,197,229,138,216,216,147,Immediate Relatives
Seychelles,1,4,4,3,1,2,0,4,6,3,Immediate Relatives
Sierra Leone,400,411,573,605,504,494,440,583,674,914,Immediate Relatives
Singapore,87,62,69,86,56,64,47,93,106,92,Immediate Relatives
Sint Maarten,,,,10,10,10,11,9,16,4,Immediate Relatives
Slovakia,47,67,53,72,58,37,31,50,57,40,Immediate Relatives
Slovenia,6,15,14,3,18,8,8,17,8,14,Immediate Relatives
Solomon Islands,1,0,1,1,0,0,2,0,1,2,Immediate Relatives
Somalia,404,519,564,594,784,836,1487,885,1511,1465,Immediate Relatives
South Africa,303,309,311,353,300,297,255,425,444,374,Immediate Relatives
South Georgia and the South Sandwich Islands,,,,0,0,0,0,0,0,0,Immediate Relatives
South Sudan,,,,0,18,70,40,70,86,96,Immediate Relatives
Spain,215,229,319,372,227,281,234,335,297,268,Immediate Relatives
Sri Lanka,197,233,291,265,295,284,225,293,378,296,Immediate Relatives
St. Barthelemy,,,,0,0,0,0,0,0,0,Immediate Relatives
St. Helena,0,0,0,1,0,1,0,0,0,0,Immediate Relatives
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Sudan,377,533,613,497,777,474,448,359,642,556,Immediate Relatives
Suriname,38,16,37,26,30,27,18,30,19,30,Immediate Relatives
Svalbard,,,,0,0,0,0,0,0,0,Immediate Relatives
Swaziland,4,19,10,5,7,3,2,4,4,2,Immediate Relatives
Sweden,142,127,177,153,110,131,85,141,146,133,Immediate Relatives
Switzerland,63,93,63,97,90,72,55,92,86,61,Immediate Relatives
Syria,525,649,591,771,851,1019,800,868,1265,1150,Immediate Relatives
Tajikistan,27,28,29,33,33,32,31,43,38,61,Immediate Relatives
Tanzania,86,92,129,114,143,108,86,149,164,144,Immediate Relatives
Thailand,838,1042,985,1030,1102,1009,734,1069,1198,1010,Immediate Relatives
Timor-Leste,1,2,0,1,2,0,0,4,2,0,Immediate Relatives
Togo,125,249,374,408,547,484,445,527,683,436,Immediate Relatives
Tokelau,,,,0,0,0,0,0,0,0,Immediate Relatives
Tonga,51,44,36,67,34,34,38,49,52,33,Immediate Relatives
Trinidad and Tobago,775,762,752,809,790,605,499,642,781,584,Immediate Relatives
Tunisia,68,110,135,189,184,185,140,219,226,174,Immediate Relatives
Turkey,620,578,555,606,495,467,370,553,616,584,Immediate Relatives
Turkmenistan,27,29,18,34,29,23,24,31,38,36,Immediate Relatives
Turks and Caicos Islands,6,4,3,3,2,9,5,3,6,7,Immediate Relatives
Tuvalu,0,1,0,0,0,0,0,0,0,1,Immediate Relatives
Uganda,173,239,192,344,425,492,371,431,366,342,Immediate Relatives
Ukraine,1465,1690,1614,1935,1640,1705,1632,1987,2360,1691,Immediate Relatives
United Arab Emirates,87,115,156,163,128,144,137,189,243,184,Immediate Relatives
Uruguay,83,70,59,73,67,56,62,93,79,76,Immediate Relatives
Uzbekistan,227,225,248,269,330,268,251,310,399,295,Immediate Relatives
Vanuatu,1,4,0,2,2,1,1,1,0,0,Immediate Relatives
Vatican City,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Venezuela,692,908,959,1018,889,709,555,876,1107,901,Immediate Relatives
Vietnam,7728,7563,7038,9401,8534,8796,6242,8513,12083,9974,Immediate Relatives
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Western Sahara,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Yemen,1008,2553,1920,1916,1812,2366,2010,2348,8447,3584,Immediate Relatives
Zambia,65,83,68,90,79,56,67,94,76,82,Immediate Relatives
Zimbabwe,69,111,96,107,75,109,79,109,146,136,Immediate Relatives
Afghanistan,817,680,111,121,237,1597,9283,6884,12298,16370,Special Immigrants
Albania,5,0,1,7,5,6,4,7,13,7,Special Immigrants
Algeria,0,3,0,1,0,0,1,1,2,2,Special Immigrants
Andorra,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Angola,0,0,0,0,0,0,1,1,0,0,Special Immigrants
Anguilla,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Antigua and Barbuda,0,0,1,0,0,0,0,0,1,0,Special Immigrants
Argentina,3,1,4,2,5,8,10,10,7,7,Special Immigrants
Armenia,1,2,3,2,3,1,3,3,2,4,Special Immigrants
Aruba,0,0,0,0,0,0,1,0,0,0,Special Immigrants
Australia,6,2,5,8,9,6,2,5,3,8,Special Immigrants
Austria,0,2,1,1,2,3,1,0,1,2,Special Immigrants
Azerbaijan,1,5,0,3,1,0,0,4,3,1,Special Immigrants
Bahamas,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Bahrain,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Bangladesh,4,2,6,5,14,14,7,13,4,10,Special Immigrants
Barbados,0,1,1,1,1,1,3,0,1,0,Special Immigrants
Belarus,1,2,4,1,1,0,4,2,3,2,Special Immigrants
Belgium,0,1,1,0,2,0,3,0,0,2,Special Immigrants
Belize,0,1,1,0,0,0,1,1,0,1,Special Immigrants
Benin,0,0,0,0,1,0,1,1,0,0,Special Immigrants
Bermuda,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Bhutan,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Bolivia,0,0,0,0,0,1,5,6,2,3,Special Immigrants
Bosnia and Herzegovina,0,1,0,1,3,0,1,0,0,0,Special Immigrants
Botswana,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Brazil,3,3,5,12,26,11,8,14,11,25,Special Immigrants
British Indian Ocean Territory,,,,0,0,0,0,0,0,0,Special Immigrants
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Brunei,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Bulgaria,10,8,6,10,13,7,9,15,7,5,Special Immigrants
Burkina Faso,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Burma,0,2,2,0,1,0,1,4,2,5,Special Immigrants
Burundi,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Cambodia,0,0,1,2,1,0,2,0,0,0,Special Immigrants
Cameroon,3,3,4,4,3,3,4,8,13,10,Special Immigrants
Canada,1,10,2,2,0,1,4,5,2,4,Special Immigrants
Cape Verde,3,0,0,0,0,0,0,0,2,1,Special Immigrants
Cayman Islands,1,0,0,0,0,0,0,0,0,0,Special Immigrants
Central African Republic,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Chad,0,0,0,1,0,0,0,0,1,0,Special Immigrants
Chile,1,3,7,6,1,7,1,3,1,0,Special Immigrants
China - mainland born,44,27,25,36,30,81,33,55,54,39,Special Immigrants
China - Taiwan born,7,3,11,11,4,5,11,14,10,6,Special Immigrants
Christmas Island,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Cocos Islands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Colombia,19,24,33,22,22,22,19,34,38,39,Special Immigrants
Comoros,0,0,0,0,0,0,0,0,0,0,Special Immigrants
"Congo, Dem. Rep. of the",0,0,0,0,1,2,7,2,1,1,Special Immigrants
"Congo, Republic of the",0,1,0,0,1,1,1,0,0,0,Special Immigrants
Cook Islands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Costa Rica,0,0,0,0,0,4,0,2,1,2,Special Immigrants
Cote d'Ivoire,0,0,0,1,2,1,0,1,2,1,Special Immigrants
Croatia,1,0,0,1,1,0,0,0,3,2,Special Immigrants
Cuba,9,15,6,4,17,18,13,8,7,11,Special Immigrants
Curacao,,,,0,0,0,0,0,0,0,Special Immigrants
Cyprus,0,0,0,0,0,2,0,0,1,0,Special Immigrants
Czech Republic,0,1,2,1,1,5,0,4,4,2,Special Immigrants
Denmark,0,0,1,2,0,3,0,1,1,0,Special Immigrants
Djibouti,0,0,1,0,0,0,0,0,0,0,Special Immigrants
Dominica,1,0,1,0,0,1,0,1,0,0,Special Immigrants
Dominican Republic,23,17,25,31,33,13,19,19,49,78,Special Immigrants
Ecuador,27,9,10,20,19,42,56,57,53,39,Special Immigrants
Egypt,19,8,15,18,33,18,18,7,20,25,Special Immigrants
El Salvador,0,2,3,6,11,10,6,11,10,12,Special Immigrants
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Eritrea,0,0,0,1,0,1,1,0,1,1,Special Immigrants
Estonia,0,1,1,0,0,0,0,0,0,0,Special Immigrants
Ethiopia,1,4,9,4,10,10,4,2,5,15,Special Immigrants
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Faroe Islands,,,,0,0,0,0,0,0,0,Special Immigrants
Fiji,3,2,4,4,4,4,2,3,3,1,Special Immigrants
Finland,0,0,0,0,1,0,2,0,0,0,Special Immigrants
France,3,6,1,7,3,6,8,4,6,8,Special Immigrants
French Guiana,0,0,0,0,,,,,,,Special Immigrants
French Polynesia,0,0,0,0,0,0,0,0,0,0,Special Immigrants
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Gabon,0,0,0,0,0,0,1,0,0,0,Special Immigrants
"Gambia, The",0,1,0,0,1,0,0,0,0,1,Special Immigrants
Georgia,1,1,5,3,1,1,2,6,7,1,Special Immigrants
Germany,9,7,13,13,5,13,3,12,6,13,Special Immigrants
Ghana,10,3,7,11,13,11,6,4,3,7,Special Immigrants
Gibraltar,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Great Britain and Northern Ireland,9,7,7,19,9,23,30,14,10,17,Special Immigrants
Greece,1,2,4,5,2,2,1,0,2,4,Special Immigrants
Greenland,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Grenada,1,0,0,0,0,0,1,0,1,0,Special Immigrants
Guadeloupe,0,0,0,0,,,,,,,Special Immigrants
Guatemala,0,1,2,7,11,8,13,4,16,20,Special Immigrants
Guinea,0,0,0,0,0,0,0,1,1,0,Special Immigrants
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Guyana,0,0,0,0,2,5,5,2,3,2,Special Immigrants
Haiti,5,11,22,36,24,10,11,33,61,51,Special Immigrants
Honduras,4,4,8,3,9,22,16,7,11,9,Special Immigrants
Hong Kong S.A.R.,4,0,2,0,5,5,4,2,1,1,Special Immigrants
Hungary,1,3,1,2,4,2,1,3,1,1,Special Immigrants
Iceland,0,0,0,2,0,1,0,0,5,1,Special Immigrants
India,101,142,126,132,82,137,123,185,214,140,Special Immigrants
Indonesia,1,4,10,2,6,6,9,8,14,6,Special Immigrants
Iran,9,17,9,14,20,15,16,33,21,23,Special Immigrants
Iraq,969,2828,2035,704,3898,3569,1521,1190,2270,2138,Special Immigrants
Ireland,4,1,1,0,0,0,1,3,1,0,Special Immigrants
Israel,8,3,3,10,7,6,9,7,10,10,Special Immigrants
Italy,8,7,8,3,5,4,7,9,8,5,Special Immigrants
Jamaica,1,3,5,4,4,3,13,18,20,18,Special Immigrants
Japan,9,14,11,8,21,21,32,26,23,31,Special Immigrants
Jordan,2,6,8,7,14,15,9,9,18,31,Special Immigrants
Kazakhstan,1,0,0,0,2,4,1,2,3,6,Special Immigrants
Kenya,0,4,1,1,1,4,2,7,9,10,Special Immigrants
Kiribati,0,0,0,0,0,0,0,0,0,0,Special Immigrants
"Korea, North",0,0,0,0,0,0,0,0,0,1,Special Immigrants
"Korea, South",20,20,22,42,36,42,21,25,25,49,Special Immigrants
Kosovo,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Kuwait,5,2,4,0,1,4,3,1,0,3,Special Immigrants
Kyrgyzstan,1,1,0,0,0,2,0,0,1,0,Special Immigrants
Laos,0,0,1,2,0,1,3,0,2,0,Special Immigrants
Latvia,0,0,0,1,2,4,2,1,0,0,Special Immigrants
Lebanon,9,8,16,15,11,15,28,8,5,3,Special Immigrants
Lesotho,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Liberia,0,1,4,1,6,9,3,6,11,7,Special Immigrants
Libya,3,0,0,0,2,3,2,0,1,4,Special Immigrants
Liechtenstein,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Lithuania,1,7,8,1,5,4,3,0,3,1,Special Immigrants
Luxembourg,0,0,0,0,0,0,0,0,0,1,Special Immigrants
Macau,0,0,0,0,1,0,0,0,0,0,Special Immigrants
Macedonia,0,0,2,3,3,1,2,3,1,5,Special Immigrants
Madagascar,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Malawi,1,0,1,0,0,1,0,0,0,0,Special Immigrants
Malaysia,1,1,3,4,3,1,1,3,6,2,Special Immigrants
Maldives,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Mali,0,0,0,0,0,0,0,0,0,1,Special Immigrants
Malta,0,0,0,1,0,0,0,1,0,0,Special Immigrants
Marshall Islands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Martinique,0,0,0,0,,,,,,,Special Immigrants
Mauritania,0,0,0,0,0,1,0,0,0,0,Special Immigrants
Mauritius,0,0,0,0,0,2,0,0,0,0,Special Immigrants
Mayotte,,,,0,0,0,,,,,Special Immigrants
Mexico,0,1,0,0,13,9,48,16,37,33,Special Immigrants
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,Special Immigrants
Moldova,0,1,0,5,4,3,5,4,3,4,Special Immigrants
Monaco,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Mongolia,0,0,0,1,6,0,5,1,1,5,Special Immigrants
Montenegro,0,0,0,0,1,0,0,0,0,0,Special Immigrants
Montserrat,0,0,0,0,0,0,0,1,1,0,Special Immigrants
Morocco,3,1,4,5,2,4,5,9,8,9,Special Immigrants
Mozambique,0,0,0,0,0,0,0,1,0,0,Special Immigrants
Namibia,0,0,0,0,0,0,1,0,0,0,Special Immigrants
Nauru,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Nepal,1,1,2,7,15,10,14,9,13,21,Special Immigrants
Netherlands,3,1,1,0,3,1,2,2,2,0,Special Immigrants
Netherlands Antilles,0,0,0,0,,,,,,,Special Immigrants
New Caledonia,0,0,0,0,0,0,0,0,0,0,Special Immigrants
New Zealand,0,3,8,6,5,4,2,2,4,3,Special Immigrants
Nicaragua,9,4,0,5,8,9,11,10,8,5,Special Immigrants
Niger,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Nigeria,1,8,41,36,38,23,57,42,61,46,Special Immigrants
Niue,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Norfolk Island,,,,0,0,0,0,0,0,0,Special Immigrants
Northern Ireland (DV only),-,0,0,0,0,0,0,0,0,0,Special Immigrants
Norway,0,0,1,1,0,1,0,1,2,0,Special Immigrants
Oman,0,0,0,0,0,0,2,0,0,1,Special Immigrants
Pakistan,40,47,42,27,20,41,50,51,62,68,Special Immigrants
Palau,0,0,0,0,0,1,0,0,0,0,Special Immigrants
Panama,1,3,3,4,2,6,15,4,3,2,Special Immigrants
Papua New Guinea,0,0,0,1,0,0,0,0,0,0,Special Immigrants
Paraguay,1,0,0,0,2,0,1,2,2,3,Special Immigrants
Peru,14,16,22,32,49,46,37,37,47,51,Special Immigrants
Philippines,148,128,128,130,84,116,87,148,219,168,Special Immigrants
Pitcairn,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Poland,17,25,15,13,14,29,7,19,23,12,Special Immigrants
Portugal,0,1,0,3,2,0,0,1,1,2,Special Immigrants
Qatar,0,0,0,0,0,0,0,0,0,1,Special Immigrants
Reunion,0,0,0,0,,,,,,,Special Immigrants
Romania,8,10,18,25,37,25,28,30,29,12,Special Immigrants
Russia,24,21,19,40,21,31,25,23,16,11,Special Immigrants
Rwanda,1,0,0,0,0,0,0,0,0,0,Special Immigrants
Saint Kitts and Nevis,1,0,0,0,0,0,0,0,0,0,Special Immigrants
Saint Lucia,0,0,0,0,0,0,0,0,1,0,Special Immigrants
Saint Martin,,,,0,0,0,0,0,0,0,Special Immigrants
Saint Vincent and the Grenadines,0,0,0,0,1,0,1,0,0,0,Special Immigrants
Samoa,0,0,0,0,0,1,0,0,0,0,Special Immigrants
San Marino,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Saudi Arabia,1,4,0,1,3,8,1,7,1,8,Special Immigrants
Senegal,1,1,0,0,0,0,2,1,6,1,Special Immigrants
Serbia,0,1,1,0,1,0,3,1,1,2,Special Immigrants
Seychelles,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Sierra Leone,0,2,1,0,1,4,6,2,1,1,Special Immigrants
Singapore,0,2,0,0,0,5,2,1,0,2,Special Immigrants
Sint Maarten,,,,0,0,0,0,0,0,0,Special Immigrants
Slovakia,0,0,0,3,1,1,0,2,1,1,Special Immigrants
Slovenia,0,0,1,0,0,0,0,0,1,0,Special Immigrants
Solomon Islands,0,0,0,0,1,0,0,0,0,0,Special Immigrants
Somalia,4,2,5,3,0,0,5,1,1,1,Special Immigrants
South Africa,3,3,2,16,21,14,6,10,11,5,Special Immigrants
South Georgia and the South Sandwich Islands,,,,0,0,0,0,0,0,0,Special Immigrants
South Sudan,,,,0,0,1,0,0,0,1,Special Immigrants
Spain,7,9,10,6,6,10,4,7,3,8,Special Immigrants
Sri Lanka,0,2,2,3,5,5,3,6,0,5,Special Immigrants
St. Barthelemy,,,,0,0,0,0,0,0,0,Special Immigrants
St. Helena,0,0,0,0,0,0,0,0,0,0,Special Immigrants
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Sudan,2,0,2,1,3,3,3,1,1,6,Special Immigrants
Suriname,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Svalbard,,,,0,0,0,0,0,0,0,Special Immigrants
Swaziland,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Sweden,0,5,0,0,1,0,3,0,1,3,Special Immigrants
Switzerland,0,0,1,1,2,3,2,1,1,0,Special Immigrants
Syria,11,5,6,6,3,24,23,15,10,9,Special Immigrants
Tajikistan,0,0,1,0,0,0,2,3,1,4,Special Immigrants
Tanzania,0,1,1,0,0,0,1,0,1,1,Special Immigrants
Thailand,3,3,5,4,7,3,14,10,9,5,Special Immigrants
Timor-Leste,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Togo,1,1,0,1,4,4,0,6,4,2,Special Immigrants
Tokelau,,,,0,0,0,0,0,0,0,Special Immigrants
Tonga,0,1,1,1,0,3,0,1,0,0,Special Immigrants
Trinidad and Tobago,7,7,5,2,7,5,5,8,2,4,Special Immigrants
Tunisia,1,0,0,3,3,7,3,1,1,0,Special Immigrants
Turkey,5,7,1,8,9,12,13,16,22,10,Special Immigrants
Turkmenistan,0,0,0,0,0,0,2,1,0,0,Special Immigrants
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Tuvalu,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Uganda,1,0,0,1,5,0,4,1,3,2,Special Immigrants
Ukraine,3,12,1,7,14,7,22,37,8,20,Special Immigrants
United Arab Emirates,1,6,4,3,23,11,11,8,16,19,Special Immigrants
Uruguay,0,1,0,0,3,4,4,0,1,1,Special Immigrants
Uzbekistan,2,3,5,3,2,6,6,12,14,12,Special Immigrants
Vanuatu,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Vatican City,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Venezuela,6,3,8,3,5,2,11,16,11,12,Special Immigrants
Vietnam,9,11,10,27,18,21,44,32,49,53,Special Immigrants
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Western Sahara,0,0,0,0,0,0,0,0,0,0,Special Immigrants
Yemen,1,1,3,0,6,8,10,3,9,3,Special Immigrants
Zambia,2,0,0,0,0,0,0,0,0,1,Special Immigrants
Zimbabwe,1,0,0,2,0,1,1,0,1,1,Special Immigrants
Afghanistan,314,343,204,173,197,278,392,307,365,333,Family Preference
Albania,118,159,315,233,261,351,423,669,949,950,Family Preference
Algeria,23,31,34,53,44,69,146,127,138,153,Family Preference
Andorra,0,0,1,0,0,0,0,0,0,0,Family Preference
Angola,25,16,9,14,22,16,16,6,20,22,Family Preference
Anguilla,4,6,3,16,4,10,4,2,3,8,Family Preference
Antigua and Barbuda,144,102,84,91,100,123,91,94,80,97,Family Preference
Argentina,62,58,68,45,116,103,124,135,158,89,Family Preference
Armenia,112,95,158,149,103,206,247,287,279,306,Family Preference
Aruba,2,0,1,2,6,5,7,3,1,7,Family Preference
Australia,40,35,35,41,34,41,50,37,37,46,Family Preference
Austria,9,5,0,8,1,1,8,7,7,15,Family Preference
Azerbaijan,19,46,56,46,62,64,61,76,65,54,Family Preference
Bahamas,42,36,44,47,35,33,37,36,37,63,Family Preference
Bahrain,12,6,12,16,11,5,7,15,22,8,Family Preference
Bangladesh,3609,7990,5922,7161,7884,6474,7579,8176,9667,6922,Family Preference
Barbados,65,117,79,72,67,104,54,88,65,75,Family Preference
Belarus,50,44,83,65,74,87,92,89,94,131,Family Preference
Belgium,9,3,9,12,16,18,14,8,10,13,Family Preference
Belize,166,115,123,131,180,156,113,128,150,120,Family Preference
Benin,2,1,7,5,7,17,33,20,19,27,Family Preference
Bermuda,7,3,4,4,5,14,11,18,8,7,Family Preference
Bhutan,0,0,2,0,0,7,2,0,3,7,Family Preference
Bolivia,245,177,192,217,175,322,231,262,244,225,Family Preference
Bosnia and Herzegovina,11,22,25,17,24,49,35,68,125,132,Family Preference
Botswana,0,0,0,3,0,2,2,1,6,2,Family Preference
Brazil,162,128,201,254,255,358,328,409,426,533,Family Preference
British Indian Ocean Territory,,,,0,0,0,0,0,0,0,Family Preference
British Virgin Islands,11,19,10,9,10,7,11,11,3,5,Family Preference
Brunei,2,2,2,0,0,0,0,2,2,0,Family Preference
Bulgaria,52,57,121,82,75,133,137,132,164,131,Family Preference
Burkina Faso,0,1,13,7,13,19,17,30,35,32,Family Preference
Burma,473,369,500,550,439,458,404,526,584,550,Family Preference
Burundi,3,0,4,0,3,7,5,9,7,12,Family Preference
Cambodia,404,332,419,397,338,385,408,360,541,682,Family Preference
Cameroon,80,37,93,176,165,273,304,427,458,475,Family Preference
Canada,634,461,484,480,493,503,378,484,424,321,Family Preference
Cape Verde,860,858,756,787,735,888,543,697,1086,1320,Family Preference
Cayman Islands,2,4,3,8,10,7,8,5,6,10,Family Preference
Central African Republic,0,0,0,2,3,7,3,2,3,7,Family Preference
Chad,0,0,0,0,12,2,3,1,6,0,Family Preference
Chile,83,65,101,47,58,74,79,88,67,71,Family Preference
China - mainland born,14635,10873,14161,16989,17599,13146,14273,14564,15535,14954,Family Preference
China - Taiwan born,2346,1673,1674,1117,1141,700,718,620,828,659,Family Preference
Christmas Island,0,0,0,0,0,0,0,0,0,0,Family Preference
Cocos Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Colombia,2592,2014,2840,3036,2679,3733,3158,3091,2933,3096,Family Preference
Comoros,0,0,0,0,0,2,0,0,1,0,Family Preference
"Congo, Dem. Rep. of the",14,0,21,62,104,88,166,177,186,283,Family Preference
"Congo, Republic of the",3,27,0,6,8,6,7,15,4,8,Family Preference
Cook Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Costa Rica,79,52,87,87,68,130,98,121,112,111,Family Preference
Cote d'Ivoire,50,38,26,57,96,131,106,102,111,191,Family Preference
Croatia,13,11,17,9,5,13,15,9,22,30,Family Preference
Cuba,2592,777,476,610,1419,2297,3593,2262,4176,4791,Family Preference
Curacao,,,,3,6,6,0,4,4,3,Family Preference
Cyprus,9,3,4,4,6,3,4,3,5,4,Family Preference
Czech Republic,15,14,3,10,13,23,19,12,8,10,Family Preference
Denmark,4,6,13,4,7,14,11,4,13,5,Family Preference
Djibouti,3,2,0,0,1,2,3,2,7,0,Family Preference
Dominica,252,236,271,247,149,269,185,118,189,166,Family Preference
Dominican Republic,8649,23478,30482,21395,19811,21196,24990,27856,28335,28667,Family Preference
Ecuador,2532,2551,3201,2798,2240,3736,3482,3108,2767,2977,Family Preference
Egypt,717,593,786,765,724,889,931,826,1016,1091,Family Preference
El Salvador,5180,4969,6200,6355,4867,6978,6741,6494,5935,7046,Family Preference
Equatorial Guinea,0,0,0,0,0,0,0,1,0,0,Family Preference
Eritrea,40,59,58,95,98,144,146,151,180,265,Family Preference
Estonia,2,8,9,7,3,15,2,7,13,6,Family Preference
Ethiopia,570,510,811,1134,1156,1410,1292,1547,2030,2174,Family Preference
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Family Preference
Faroe Islands,,,,0,0,0,0,0,0,0,Family Preference
Fiji,248,255,435,245,260,193,248,338,271,248,Family Preference
Finland,1,1,4,1,8,3,2,4,9,5,Family Preference
France,92,25,69,113,113,105,114,79,136,85,Family Preference
French Guiana,2,6,1,0,,,,,,,Family Preference
French Polynesia,0,0,0,0,1,0,0,0,0,1,Family Preference
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Family Preference
Gabon,0,0,2,4,3,3,9,2,5,13,Family Preference
"Gambia, The",26,17,47,60,49,72,100,77,105,135,Family Preference
Georgia,3,16,29,36,37,73,99,105,138,133,Family Preference
Germany,164,136,149,119,138,115,136,121,137,141,Family Preference
Ghana,632,279,574,793,836,1279,779,903,1222,1625,Family Preference
Gibraltar,0,0,2,0,0,1,0,0,2,0,Family Preference
Great Britain and Northern Ireland,593,362,472,503,427,454,448,430,481,386,Family Preference
Greece,33,26,27,47,17,50,35,59,53,61,Family Preference
Greenland,0,0,0,0,0,0,0,0,0,0,Family Preference
Grenada,116,93,152,103,111,152,73,113,70,81,Family Preference
Guadeloupe,8,5,2,0,,,,,,,Family Preference
Guatemala,1975,1940,2197,2811,2477,2691,2327,2293,2239,2319,Family Preference
Guinea,9,8,29,74,121,79,83,104,105,120,Family Preference
Guinea-Bissau,1,0,2,3,1,2,3,0,4,7,Family Preference
Guyana,3539,2677,3631,3069,2803,3475,3579,3405,3357,2992,Family Preference
Haiti,9004,6641,8639,7384,8382,9665,6612,7430,8427,8905,Family Preference
Honduras,1332,1044,1372,1249,1552,2320,1377,1834,1966,1658,Family Preference
Hong Kong S.A.R.,1760,1023,1253,859,913,746,749,715,903,813,Family Preference
Hungary,18,18,42,14,38,29,23,17,20,36,Family Preference
Iceland,1,2,1,0,1,0,0,1,1,4,Family Preference
India,14162,12443,15399,11437,11818,12305,14016,16108,15655,14839,Family Preference
Indonesia,117,177,308,165,250,196,125,134,154,171,Family Preference
Iran,2767,2276,2881,2293,2619,2041,2410,2095,2407,2062,Family Preference
Iraq,742,467,318,251,288,245,233,220,272,330,Family Preference
Ireland,10,6,6,8,24,11,9,11,36,24,Family Preference
Israel,98,95,126,78,137,127,137,112,105,102,Family Preference
Italy,75,66,69,62,94,86,89,93,124,129,Family Preference
Jamaica,5014,4251,4964,5409,5735,5767,5371,5711,5324,5941,Family Preference
Japan,90,62,82,68,66,87,66,78,95,107,Family Preference
