Foreign State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
Singapore,166,119,142,142,111,141,134,146,197,180,Total
Sint Maarten,,,,18,20,23,21,25,25,8,Total
Slovakia,140,130,103,126,106,93,86,105,111,85,Total
Slovenia,15,21,20,8,20,13,11,23,21,27,Total
Solomon Islands,5,0,1,1,1,0,2,0,1,2,Total
Somalia,510,619,690,698,921,1047,1705,1078,1797,1791,Total
South Africa,601,723,744,766,662,732,617,773,787,791,Total
South Georgia and the South Sandwich Islands,,,,0,0,0,0,0,0,0,Total
South Sudan,,,,0,18,72,41,74,98,120,Total
Spain,308,353,457,517,379,469,476,598,495,465,Total
Sri Lanka,904,944,925,858,702,766,761,768,939,716,Total
St. Barthelemy,,,,0,0,0,0,0,0,0,Total
St. Helena,1,0,0,1,0,1,0,0,0,0,Total
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,Total
Sudan,919,1154,1217,1155,1167,1019,1552,1642,2606,1841,Total
Suriname,85,57,81,69,71,64,77,59,62,72,Total
Svalbard,,,,0,0,0,0,0,0,0,Total
Swaziland,5,22,10,6,10,3,3,4,8,4,Total
Sweden,236,220,270,212,202,217,172,212,248,219,Total
Switzerland,154,200,158,183,167,125,129,157,118,108,Total
Syria,1260,1436,1478,1641,1926,2179,1984,1901,2633,2551,Total
Tajikistan,100,108,172,231,193,276,320,435,305,509,Total
Tanzania,256,278,290,243,250,203,161,252,279,277,Total
Thailand,1185,1347,1396,1396,1469,1372,1049,1385,1527,1337,Total
Timor-Leste,1,3,0,1,2,0,0,4,2,0,Total
Togo,651,801,979,1030,947,1110,1159,1254,1555,1103,Total
Tokelau,,,,0,0,0,0,0,0,0,Total
Tonga,175,121,116,140,59,131,131,145,103,121,Total
Trinidad and Tobago,1635,1569,1617,1583,1625,1495,1118,1318,1356,1247,Total
Tunisia,131,174,214,253,221,245,215,286,352,264,Total
Turkey,1722,1840,1808,1747,1496,1333,1603,2031,1655,2206,Total
Turkmenistan,107,91,92,128,98,98,145,137,119,149,Total
Turks and Caicos Islands,8,10,7,14,4,18,9,6,8,11,Total
Tuvalu,0,1,0,0,0,0,0,0,0,1,Total
Uganda,434,468,403,606,613,810,688,755,686,588,Total
Ukraine,3685,3672,3892,4110,3567,4220,4245,4166,5131,4780,Total
United Arab Emirates,227,273,287,294,383,377,386,476,573,511,Total
Uruguay,103,104,90,98,101,95,92,126,120,130,Total
Uzbekistan,2531,2653,3697,3982,3716,3887,3695,3268,3337,4116,Total
Vanuatu,2,4,0,2,2,1,1,5,2,0,Total
Vatican City,0,0,0,0,0,0,0,0,0,0,Total
Venezuela,1088,1437,1808,1965,1932,1816,1910,2348,2471,2909,Total
Vietnam,23559,20079,27557,27032,24133,23424,24489,27391,32970,28719,Total
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,Total
Western Sahara,0,0,0,0,0,0,0,0,0,0,Total
Yemen,1270,3052,2416,2761,2681,3158,2939,3143,12998,5419,Total
Zambia,143,126,125,169,116,119,115,157,131,121,Total
Zimbabwe,146,215,191,226,153,217,178,220,297,246,Total
Afghanistan,479,581,477,448,457,450,817,640,818,809,Immediate Relatives
Albania,1628,1434,1525,1444,1761,1230,1250,1978,2208,1429,Immediate Relatives
Algeria,200,250,226,282,352,290,264,373,443,413,Immediate Relatives
Andorra,0,2,0,0,0,0,0,0,0,0,Immediate Relatives
Angola,12,18,16,24,21,15,13,23,21,29,Immediate Relatives
Anguilla,5,1,6,2,1,2,5,5,7,5,Immediate Relatives
Antigua and Barbuda,68,99,78,73,76,54,61,55,103,84,Immediate Relatives
Argentina,274,233,218,299,329,321,249,400,414,292,Immediate Relatives
Armenia,277,449,398,440,661,662,448,551,1126,736,Immediate Relatives
Aruba,1,4,6,7,11,3,5,4,2,7,Immediate Relatives
Australia,400,366,369,415,333,350,286,452,469,301,Immediate Relatives
Austria,57,61,66,58,61,57,52,61,68,29,Immediate Relatives
Azerbaijan,95,122,112,146,146,119,91,149,171,181,Immediate Relatives
Bahamas,64,50,69,76,75,74,90,114,123,136,Immediate Relatives
Bahrain,12,9,12,22,18,13,10,19,13,14,Immediate Relatives
Bangladesh,3328,4630,4132,4679,5482,4112,4423,5839,7402,5330,Immediate Relatives
Barbados,77,86,64,64,56,69,46,57,79,75,Immediate Relatives
Belarus,158,202,213,236,221,258,198,376,306,245,Immediate Relatives
Belgium,67,62,56,89,52,67,53,85,65,67,Immediate Relatives
Belize,132,148,143,134,123,127,85,146,146,130,Immediate Relatives
Benin,20,42,30,33,44,41,81,64,104,128,Immediate Relatives
Bermuda,32,29,16,15,7,16,17,21,30,22,Immediate Relatives
Bhutan,3,5,16,2,8,3,5,14,17,23,Immediate Relatives
Bolivia,435,421,435,384,370,288,264,425,452,307,Immediate Relatives
Bosnia and Herzegovina,310,343,261,250,201,199,143,224,189,158,Immediate Relatives
Botswana,2,8,2,10,9,5,7,8,13,6,Immediate Relatives
